name;zipcode;mean_sell_prices;mean_rents
Paris;75000;345325.0;1239.78947368
Marseille;13000;210445.0;745.08974359
Lyon;69000;167285.658333;602.476635514
Toulouse;31000;147950.04375;527.130434783
Nice;6000;147950.04375;527.130434783
Nantes;44000;134364.91;469.670658683
Strasbourg;67000;121486.425;418.805825243
Montpellier;34000;119021.221429;412.426829268
Bordeaux;33000;113172.6;390.598591549
Rennes;35000;106975.505556;367.111455108
Le Havre;76000;101706.605;348.415512465
Reims;51000;97087.7431818;332.144638404
Lille;59000;95214.9166667;326.664399093
Saint-etiénne;42000;90197.4230769;308.565488565
Toulon;83000;90086.8928571;309.176923077
Grenoble;38000;87302.7666667;299.447227191
Angers;49000;84870.403125;290.735343384
Dijon;21000;83467.4205882;286.199685535
Brest;29000;81056.5777778;277.892011834
Le Mans;72000;79165.4355263;271.546089385
Clermont-Ferrand;63000;77719.70125;266.854497354
Amiens;80000;77271.6035714;265.983647799
Aix-en-Provence;13000;77194.0306818;266.421556886
Limoges;87000;75554.5173913;260.813714286
Nimes;30000;74385.2927083;256.229166667
Tours;37000;73641.031;252.820675105
Saint-Denis;93200;75419.8375;260.263157895
Villeurbanne;69100;75625.287037;259.083579154
Metz;57000;74591.7053571;255.712393567
Besancon;25000;73631.6465517;252.597082954
Caen;14000;72946.0283333;249.884377758
Orléans;45000;72167.9435484;247.42455243
Mulhouse;68000;71467.7828125;245.240725474
Rouen;76000;70947.1378788;243.54756195
Boulogne-Billancourt;92100;75337.2220588;260.848179706
Perpignan;66000;74457.9442857;257.886551465
Nancy;54000;73686.0020833;255.32020423
Roubaix;59000;73635.4027027;255.496102055
Fort-de-France;97200;73635.4027027;255.496102055
Argenteuil;95100;74665.9782895;258.478200692